date,yield,belief,pce,unrate,strate
1985-01-01,11.38,96.0,8.24171,7.3,43.2
1985-02-01,11.51,93.7,9.8731,7.2,41.8
1985-03-01,11.86,93.7,8.92005,7.2,42.1
1985-04-01,11.43,94.6,8.21974,7.3,41.7
1985-05-01,10.85,91.8,8.96747,7.2,41.9
1985-06-01,10.16,96.5,7.76567,7.4,42.3
1985-07-01,10.31,94.0,8.86314,7.4,42.1
1985-08-01,10.33,92.4,9.5494,7.1,41.9
1985-09-01,10.37,92.1,10.29679,7.1,42.1
1985-10-01,10.24,88.4,8.86896,7.1,41.4
1985-11-01,9.78,90.9,7.7662,7.0,42.6
1985-12-01,9.26,93.9,8.85542,7.0,41.7
1986-01-01,9.19,95.6,7.95402,6.7,42.5
1986-02-01,8.7,95.9,6.7934,7.2,41.9
1986-03-01,7.78,95.1,6.61129,7.2,42.2
1986-04-01,7.3,96.2,6.6065,7.1,42.7
1986-05-01,7.71,94.8,5.97463,7.2,42.2
1986-06-01,7.8,99.3,6.40663,7.2,41.0
1986-07-01,7.3,97.7,6.09419,7.0,41.7
1986-08-01,7.17,94.9,5.32321,6.9,42.4
1986-09-01,7.45,91.9,6.337,7.0,40.7
1986-10-01,7.43,95.6,6.42645,7.0,41.6
1986-11-01,7.25,91.4,5.67645,6.9,40.9
1986-12-01,7.11,89.1,6.60904,6.6,42.0
1987-01-01,7.08,90.4,3.83432,6.6,42.6
1987-02-01,7.25,90.2,6.43571,6.6,42.3
1987-03-01,7.25,90.8,6.71837,6.6,43.1
1987-04-01,8.02,92.8,7.18115,6.3,42.2
1987-05-01,8.61,91.1,6.68066,6.3,44.1
1987-06-01,8.4,91.5,7.37673,6.2,42.6
1987-07-01,8.45,93.7,7.41011,6.1,44.2
1987-08-01,8.76,94.4,8.01076,6.0,44.2
1987-09-01,9.42,93.6,5.2056,5.9,45.3
1987-10-01,9.52,89.3,6.87374,6.0,45.0
1987-11-01,8.86,83.1,7.36921,5.8,45.0
1987-12-01,8.99,86.8,5.90571,5.7,45.9
1988-01-01,8.67,90.8,9.47709,5.7,44.4
1988-02-01,8.21,91.6,7.31919,5.7,44.3
1988-03-01,8.37,94.6,8.20363,5.7,44.3
1988-04-01,8.72,91.2,7.37791,5.4,47.1
1988-05-01,9.09,94.8,8.04356,5.6,45.7
1988-06-01,8.92,94.7,7.99596,5.4,47.3
1988-07-01,9.06,93.4,8.0137,5.4,45.0
1988-08-01,9.26,97.4,7.57634,5.6,46.8
1988-09-01,8.98,97.3,7.94818,5.4,47.8
1988-10-01,8.8,94.1,8.90732,5.4,47.6
1988-11-01,8.96,93.0,9.09611,5.3,47.4
1988-12-01,9.11,91.9,8.99783,5.3,45.8
1989-01-01,9.09,97.9,8.40153,5.4,47.4
1989-02-01,9.17,95.4,8.2759,5.2,50.1
1989-03-01,9.36,94.3,7.30869,5.0,48.7
1989-04-01,9.18,91.5,8.58106,5.2,47.9
1989-05-01,8.86,90.7,7.83945,5.2,47.8
1989-06-01,8.28,90.6,7.47627,5.3,49.9
1989-07-01,8.02,92.0,7.26957,5.2,48.3
1989-08-01,8.11,89.6,7.5,5.2,48.1
1989-09-01,8.19,95.8,7.31556,5.3,49.0
1989-10-01,8.01,93.9,6.44169,5.3,48.7
1989-11-01,7.87,90.9,6.21247,5.4,48.5
1989-12-01,7.84,90.5,6.489,5.4,49.3
1990-01-01,8.21,93.0,7.09016,5.4,47.7
