prod,ip,crack,price
52.763,43.2648896375,5.1564236179,31.5439672802
49.812,43.1753362807,5.2402649553,29.7242083759
50.736,43.7249493913,4.8398407523,28.8049029622
50.959,43.8224699411,4.7864935524,30.1724137931
52.659,43.9848356965,6.3994670572,29.8387096774
52.869,44.2337070015,6.1526942626,30.3216080402
54.652,44.174666169,5.8476660231,30.8208208208
54.499,44.762584318,5.3819904538,31.0878243513
55.153,45.2021212617,6.1497234206,30.1489572989
54.892,45.2921890267,6.1946701681,29.3267326733
55.26,45.6936556213,6.4317032744,28.6067193676
54.455,46.1617113069,5.4672548079,28.47976308
54.577,46.5794464855,5.3628625598,28.959764475
54.928,46.9441232964,5.5397932067,29.033203125
54.65,46.8218911937,4.4914285542,29.269005848
54.849,46.8479920163,5.3001531832,29.1076624636
54.468,47.5772971559,5.655746026,28.7234042553
55.745,47.3500442661,5.8046010843,27.9942140791
55.025,47.7787700441,5.9042375387,26.7146974063
53.346,48.2126376649,5.3833856307,26.966507177
53.805,47.995635427,6.2235420767,26.9142857143
54.217,48.1506830138,6.9563259251,26.5622032289
54.234,48.131819977,6.58607122,26.2298195632
54.194,48.3434342864,5.8224611563,25.7075023742
52.957,48.6046173581,5.0369648544,25.5355450237
54.427,48.7131827094,4.2690760745,26.5754716981
54.645,48.9698765329,5.7935071377,26.522556391
54.22,48.735806363,7.8451194815,26.1739943873
52.783,49.2986028204,9.2732781549,24.8555452004
51.324,49.135818214,9.1675008092,24.5724907063
52.353,49.3806651824,8.3559031881,24.8701298701
52.216,49.4444993501,7.6211883996,25.3148148148
54.096,49.4500930588,7.7141448549,25.595567867
55.779,49.7700410801,7.3882960854,26.25574977
56.257,50.1507912374,7.046457154,27.3577981651
56.572,50.0218751905,9.2117188228,24.4098810613
55.65,50.2079388504,10.5376003825,20.2372262774
55.66,50.1737314365,9.7681608894,15.846294602
55.163,49.9484869753,8.8721503749,12.7297794118
55.267,50.611194807,9.5191281651,11.4917127072
56.448,50.1618634677,9.4067794653,12.9017447199
57.22,50.4139548398,9.7235369931,10.8675799087
58.359,50.9749367094,8.834879582,8.7305936073
59.013,50.6327365189,6.6875882447,12.2789425706
54.978,51.1694547379,6.6095658345,12.9038112523
55.335,51.3653721621,6.0920877502,12.583862194
56.264,51.1432098481,5.9326128117,13.1612318841
56.435,51.4857766327,5.201367015,14.2624434389
55.635,51.2328693619,5.2154274082,16.618705036
54.938,52.1556249857,6.5472498117,15.5465949821
54.197,52.1693848976,6.3344871016,15.9589652096
54.87,52.4387826093,6.2679466335,16.3708961846
55.675,52.5074006316,6.6789006328,16.5782493369
55.376,52.7989326942,7.0454078454,16.6079295154
57.94,53.076114422,6.8789960657,17.4253075571
58.738,52.9656288543,8.0250265895,16.6695804196
58.13,53.6475568575,7.7286978845,15.9913043478
58.325,54.2118902739,7.6363287811,16.3486556808
57.863,54.6180564608,8.2920118325,15.5112651646
57.937,54.7494756827,7.0320977495,15.0953206239
57.138,54.8178356134,6.5653353171,14.6326707001
57.218,55.4834164148,7.2993380431,13.5862068966
57.579,55.4689174263,8.1247549572,12.69527897
57.89,55.6702980203,8.0606475297,14.1929974381
57.607,55.7436972676,8.3855492019,13.9744680851
57.272,56.1662372774,8.3346991221,13.2118644068
57.696,55.8777217973,8.9621355098,12.6075949367
58.853,56.3770720443,8.8752553865,12.6050420168
59.207,56.5450066951,9.4086983692,11.143572621
60.891,56.28717319,9.8380261815,10.2163061564
61.35,56.8541108666,9.9217976483,10.7398171239
61.597,57.4097876267,7.8363166898,12.531120332
58.707,57.4953785691,6.8748536302,14.004954583
58.228,57.1215635763,7.2732704529,13.7664473684
58.63,57.5005424502,6.9995798481,15.2739165985
59.06,58.2552414296,9.3905273981,16.1413484972
58.981,57.7866820148,10.223124827,14.9111470113
59.018,58.5084286997,10.0031006475,14.1579371475
59.536,57.8688040168,8.9325351442,14.2202572347
60.429,58.4170895948,8.3366266151,13.7399678973
60.512,58.3137052734,9.2563671628,14.24
61.082,58.292077733,8.3874926235,15.1512738854
61.842,58.5678269573,7.5989744504,15.258141382
61.485,58.8922829894,8.2414642426,15.7414750198
60.921,58.8537468448,8.9163066807,16.6797488226
61.179,59.0443306935,7.8381781646,15.5703125
62.082,59.5767774981,9.0199994392,14.2735042735
61.806,58.5961802164,11.2696760679,12.7928626843
61.238,59.7035276699,11.6306953621,12.6470588235
60.409,59.8722570731,11.9078921976,11.5858352579
60.514,59.8313936822,10.2281966519,13.1441717791
56.966,60.244925579,8.4822106019,20.7598784195
59.514,60.2017237072,6.2167053934,26.3978899774
59.854,60.1529364475,7.096419804,27.0337078652
60.672,59.8634991009,8.1598420106,24.8131539611
60.884,59.6806120137,7.2350720882,21.1659192825
60.637,60.1100137476,9.3934919218,17.4888558692
60.327,59.9923595537,9.8074891234,14.5252225519
60.582,59.6896543852,9.0580179195,14.1703703704
59.183,59.6961212904,9.7171127579,14.149408284
59.006,60.1305570097,10.3262944756,14.1297935103
59.199,60.0845715373,10.0237588611,13.2941176471
60.192,60.5714989257,9.171605221,14.2584434655
59.495,60.5068531753,10.3811977002,14.4436310395
60.534,60.6719636756,9.247661334,14.9271137026
60.489,60.9964191462,8.2773308485,16.1935953421
60.735,60.9219562051,9.5788495661,15.2394775036
61.143,60.1466791913,8.6326189954,13.2559825961
61.26,60.8557259452,7.3115437785,13.4322954381
